[INFO 23:00:44] pymarl Running command 'my_main'
[INFO 23:00:44] pymarl Started run with ID "41937"
[DEBUG 23:00:44] pymarl Starting Heartbeat
[DEBUG 23:00:44] my_main Started
2019-01-14 23:00:44.226821: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -146.86628511432866, time: 38.625
steps: 49975, episodes: 2000, mean episode reward: -155.18066334917694, time: 54.295
steps: 74975, episodes: 3000, mean episode reward: -67.41496525657517, time: 57.246
steps: 99975, episodes: 4000, mean episode reward: -60.74930250370223, time: 57.586
steps: 124975, episodes: 5000, mean episode reward: -58.18474040172841, time: 57.015
steps: 149975, episodes: 6000, mean episode reward: -55.694290473207175, time: 57.294
steps: 174975, episodes: 7000, mean episode reward: -51.88625612811002, time: 59.491
steps: 199975, episodes: 8000, mean episode reward: -50.464677189073015, time: 58.609
steps: 224975, episodes: 9000, mean episode reward: -44.505798439899195, time: 56.72
steps: 249975, episodes: 10000, mean episode reward: -42.499707387683564, time: 55.046
steps: 274975, episodes: 11000, mean episode reward: -42.00462215829274, time: 57.201
steps: 299975, episodes: 12000, mean episode reward: -42.04516575318176, time: 56.442
steps: 324975, episodes: 13000, mean episode reward: -41.73268713200341, time: 56.425
steps: 349975, episodes: 14000, mean episode reward: -41.23692163467444, time: 54.695
steps: 374975, episodes: 15000, mean episode reward: -42.10378883462049, time: 55.243
steps: 399975, episodes: 16000, mean episode reward: -41.715830324998834, time: 58.32
steps: 424975, episodes: 17000, mean episode reward: -42.49541494043086, time: 55.688
steps: 449975, episodes: 18000, mean episode reward: -40.74100867177089, time: 54.667
steps: 474975, episodes: 19000, mean episode reward: -41.13013488050181, time: 56.815
steps: 499975, episodes: 20000, mean episode reward: -41.53464053209449, time: 56.13
steps: 524975, episodes: 21000, mean episode reward: -43.46533954240084, time: 54.599
steps: 549975, episodes: 22000, mean episode reward: -42.16281167722752, time: 55.153
steps: 574975, episodes: 23000, mean episode reward: -43.299248573919016, time: 57.834
steps: 599975, episodes: 24000, mean episode reward: -40.49746238228881, time: 56.146
steps: 624975, episodes: 25000, mean episode reward: -41.119478878829916, time: 56.625
steps: 649975, episodes: 26000, mean episode reward: -41.863136705764724, time: 55.625
steps: 674975, episodes: 27000, mean episode reward: -39.921937658788394, time: 58.631
steps: 699975, episodes: 28000, mean episode reward: -40.66553153163365, time: 55.65
steps: 724975, episodes: 29000, mean episode reward: -42.23462115406844, time: 55.729
steps: 749975, episodes: 30000, mean episode reward: -41.95470714318378, time: 55.816
steps: 774975, episodes: 31000, mean episode reward: -42.1539420307236, time: 56.088
steps: 799975, episodes: 32000, mean episode reward: -45.34491223081961, time: 55.878
steps: 824975, episodes: 33000, mean episode reward: -43.232568351847405, time: 57.242
steps: 849975, episodes: 34000, mean episode reward: -43.7760018258359, time: 57.618
steps: 874975, episodes: 35000, mean episode reward: -44.035641459845245, time: 56.453
steps: 899975, episodes: 36000, mean episode reward: -43.30540803811591, time: 55.32
steps: 924975, episodes: 37000, mean episode reward: -45.06267666476635, time: 56.427
steps: 949975, episodes: 38000, mean episode reward: -43.9269276581913, time: 59.812
steps: 974975, episodes: 39000, mean episode reward: -45.02835755860917, time: 56.61
steps: 999975, episodes: 40000, mean episode reward: -42.29915177107725, time: 56.921
steps: 1024975, episodes: 41000, mean episode reward: -42.432513753210294, time: 58.513
steps: 1049975, episodes: 42000, mean episode reward: -43.797507470108584, time: 59.439
steps: 1074975, episodes: 43000, mean episode reward: -43.562846614555326, time: 56.951
steps: 1099975, episodes: 44000, mean episode reward: -41.783538612830206, time: 57.746
steps: 1124975, episodes: 45000, mean episode reward: -43.68448318151588, time: 60.201
steps: 1149975, episodes: 46000, mean episode reward: -42.64501442448233, time: 59.869
steps: 1174975, episodes: 47000, mean episode reward: -45.59763922340996, time: 61.376
steps: 1199975, episodes: 48000, mean episode reward: -43.965525863052854, time: 61.996
steps: 1224975, episodes: 49000, mean episode reward: -43.007747977269275, time: 62.341
steps: 1249975, episodes: 50000, mean episode reward: -46.259481230401434, time: 62.283
steps: 1274975, episodes: 51000, mean episode reward: -44.89630719989033, time: 60.183
steps: 1299975, episodes: 52000, mean episode reward: -46.087752547878104, time: 60.237
steps: 1324975, episodes: 53000, mean episode reward: -44.147255447201346, time: 61.076
steps: 1349975, episodes: 54000, mean episode reward: -44.635127820707, time: 60.773
steps: 1374975, episodes: 55000, mean episode reward: -45.878311653725966, time: 61.36
steps: 1399975, episodes: 56000, mean episode reward: -43.986490478899285, time: 60.509
steps: 1424975, episodes: 57000, mean episode reward: -44.70754506572365, time: 59.824
steps: 1449975, episodes: 58000, mean episode reward: -44.645932828538456, time: 58.87
steps: 1474975, episodes: 59000, mean episode reward: -45.06420698579951, time: 56.615
